,b_relevance,link,link ,relevance
0,1,http://www.cs.ucl.ac.uk/students/syllabus_index_2015_2016/mscml/gi15_information_retrieval_data_mining/,,2
1,1,http://www.cs.ucl.ac.uk/teaching_learning/syllabus_index_2015_2016/mscml/gi15_information_retrieval_data_mining/,,2
2,1,http://www.cs.ucl.ac.uk/current_students/syllabus_index_2015_2016/mscml/gi15_information_retrieval_data_mining/,,2
3,1,http://www.cs.ucl.ac.uk/students/syllabus_index_2015_2016/undergrad/m052_information_retrieval_and_data_mining/,,2
4,1,http://www.cs.ucl.ac.uk/teaching_learning/syllabus_index_2015_2016/undergrad/m052_information_retrieval_and_data_mining/,,2
5,1,http://www.cs.ucl.ac.uk/current_students/syllabus_index_2015_2016/undergrad/m052_information_retrieval_and_data_mining/,,2
6,1,http://www.cs.ucl.ac.uk/current_students/syllabus_index_2017_2018_provisional/undergrad/compm052_information_retrieval_and_data_mining/,,2
7,1,http://www.cs.ucl.ac.uk/students/syllabus/undergrad/m052_information_retrieval_and_data_mining/,,2
8,1,http://www.cs.ucl.ac.uk/current_students/syllabus/undergrad/m052_information_retrieval_and_data_mining/,,2
9,1,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/undergrad/m052_information_retrieval_and_data_mining/,,2
10,1,http://www.cs.ucl.ac.uk/mobile/students/syllabus_index_2015_2016/mscml/gi15_information_retrieval_data_mining/,,2
11,1,http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus_index_2015_2016/mscml/gi15_information_retrieval_data_mining/,,2
12,1,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2015_2016/mscml/gi15_information_retrieval_data_mining/,,2
13,1,http://www.cs.ucl.ac.uk/students/syllabus/mscml/gi15_information_retrieval_data_mining/,,2
14,1,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/mscml/gi15_information_retrieval_data_mining/,,2
15,1,http://www.cs.ucl.ac.uk/current_students/syllabus/mscml/gi15_information_retrieval_data_mining/,,2
16,1,http://www.cs.ucl.ac.uk/mobile/students/syllabus_index_2015_2016/undergrad/m052_information_retrieval_and_data_mining/,,2
17,1,http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus_index_2015_2016/undergrad/m052_information_retrieval_and_data_mining/,,2
18,1,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2015_2016/undergrad/m052_information_retrieval_and_data_mining/,,2
19,1,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2017_2018_provisional/undergrad/compm052_information_retrieval_and_data_mining/,,2
20,1,http://www.cs.ucl.ac.uk/mobile/students/syllabus/undergrad/m052_information_retrieval_and_data_mining/,,2
21,1,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus/undergrad/m052_information_retrieval_and_data_mining/,,2
22,1,http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus/undergrad/m052_information_retrieval_and_data_mining/,,2
23,1,http://www.cs.ucl.ac.uk/mobile/students/syllabus/mscml/gi15_information_retrieval_data_mining/,,2
24,1,http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus/mscml/gi15_information_retrieval_data_mining/,,2
25,1,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus/mscml/gi15_information_retrieval_data_mining/,,2
26,1,http://www.cs.ucl.ac.uk/mobile/prospective_students/mres_wsbda/,,1
27,1,http://www.cs.ucl.ac.uk/prospective_students/mres_wsbda/,,1
28,1,http://www.cs.ucl.ac.uk/mobile/prospective_students/mres_csml/,,1
29,1,http://www.cs.ucl.ac.uk/prospective_students/mres_csml/,,1
26,0,http://www.cs.ucl.ac.uk/mobile/students/msc_wsbda/lecturers/,,0
27,0,http://www.cs.ucl.ac.uk/mobile/teaching_learning/msc_wsbda/lecturers/,,0
28,0,http://www.cs.ucl.ac.uk/mobile/current_students/msc_wsbda/lecturers/,,0
