,link,relevance,b_relevance
0,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus/undergrad/m058_bioinformatics/,2,1
1,http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus/undergrad/m058_bioinformatics/,2,1
2,http://www.cs.ucl.ac.uk/mobile/students/syllabus/undergrad/m058_bioinformatics/,2,1
3,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2017_2018_provisional/undergrad/compm058_bioinformatics/,2,1
4,http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus_index_2015_2016/undergrad/m058_bioinformatics/,2,1
5,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2015_2016/undergrad/m058_bioinformatics/,2,1
6,http://www.cs.ucl.ac.uk/mobile/students/syllabus_index_2015_2016/undergrad/m058_bioinformatics/,2,1
7,http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus/mscml/gi10_bioinformatics/,2,1
8,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus/mscml/gi10_bioinformatics/,2,1
9,http://www.cs.ucl.ac.uk/mobile/students/syllabus/mscml/gi10_bioinformatics/,2,1
10,http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus_index_2015_2016/mscml/gi10_bioinformatics/,2,1
11,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2015_2016/mscml/gi10_bioinformatics/,2,1
12,http://www.cs.ucl.ac.uk/mobile/students/syllabus_index_2015_2016/mscml/gi10_bioinformatics/,2,1
13,http://www.cs.ucl.ac.uk/mobile/prospective_students/msc_ds/,0,0
14,http://www.cs.ucl.ac.uk/mobile/degrees/msc_ml/,0,0
15,http://www.cs.ucl.ac.uk/mobile/prospective_students/msc_ml/,0,0
16,http://www.cs.ucl.ac.uk/prospective_students/msc_ds/,0,0
17,http://www.cs.ucl.ac.uk/current_students/syllabus/undergrad/m058_bioinformatics/,2,1
18,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/undergrad/m058_bioinformatics/,2,1
19,http://www.cs.ucl.ac.uk/students/syllabus/undergrad/m058_bioinformatics/,2,1
20,http://www.cs.ucl.ac.uk/current_students/syllabus_index_2017_2018_provisional/undergrad/compm058_bioinformatics/,2,1
21,http://www.cs.ucl.ac.uk/teaching_learning/syllabus_index_2015_2016/undergrad/m058_bioinformatics/,2,1
22,http://www.cs.ucl.ac.uk/current_students/syllabus_index_2015_2016/undergrad/m058_bioinformatics/,2,1
23,http://www.cs.ucl.ac.uk/students/syllabus_index_2015_2016/undergrad/m058_bioinformatics/,2,1
24,http://www.cs.ucl.ac.uk/degrees/msc_ml/,0,0
25,http://www.cs.ucl.ac.uk/prospective_students/msc_ml/,0,0
26,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/mscml/gi10_bioinformatics/,2,1
27,http://www.cs.ucl.ac.uk/current_students/syllabus/mscml/gi10_bioinformatics/,2,1
28,http://www.cs.ucl.ac.uk/students/syllabus/mscml/gi10_bioinformatics/,2,1
29,http://www.cs.ucl.ac.uk/teaching_learning/syllabus_index_2015_2016/mscml/gi10_bioinformatics/,2,1
0,http://www.cs.ucl.ac.uk/cs_people/David.Jones.html/,0,0
1,http://www.cs.ucl.ac.uk/cs_people/C.Dessimoz.html/,0,0
2,http://www.cs.ucl.ac.uk/cs_people/Charlie.Harrison.html/,0,0
3,http://www.cs.ucl.ac.uk/cs_people/S.Ward.html/,0,0
4,http://www.cs.ucl.ac.uk/cs_people/C.Wan.html/,0,0
5,http://www.cs.ucl.ac.uk/cs_people/Z.Patel.html/,0,0
6,http://www.cs.ucl.ac.uk/cs_people/S.Haque.html/,0,0
7,http://www.cs.ucl.ac.uk/cs_people/R.Fa.html/,0,0
8,http://www.cs.ucl.ac.uk/cs_people/D.Cozzetto.html/,0,0
9,http://www.cs.ucl.ac.uk/cs_people/D.Buchan.html/,0,0
10,http://www.cs.ucl.ac.uk/people/K.Bryson.html/,0,0
11,http://www.cs.ucl.ac.uk/cs_people/K.Bryson.html/,0,0
12,http://www.cs.ucl.ac.uk/research/,0,0
13,http://www.cs.ucl.ac.uk/students/syllabus_index_2015_2016/mscml/gi10_bioinformatics/,2,1
15,http://www.cs.ucl.ac.uk/current_students/syllabus_index_2015_2016/mscml/gi10_bioinformatics/,2,1
19,http://www.cs.ucl.ac.uk/students/msc_ml/,1,1
20,http://www.cs.ucl.ac.uk/teaching_learning/msc_ml/,1,1
21,http://www.cs.ucl.ac.uk/current_students/msc_ml/,1,1
29,http://www.cs.ucl.ac.uk/students/msc_ds/,1,1
28,http://www.cs.ucl.ac.uk/mobile/research/,0,0
29,http://www.cs.ucl.ac.uk/mobile/students/msc_ml/,0,0
1,http://www.cs.ucl.ac.uk/mobile/prospective_students/msc_ds/,2,1
3,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2015_2016/ug/,1,1
1,http://www.cs.ucl.ac.uk/current_students/syllabus/ug/,1,1
2,http://www.cs.ucl.ac.uk/students/undergrad_inf/curriculum/year_4_meng_math_computation/,1,1
3,http://www.cs.ucl.ac.uk/current_students/undergrad_inf/curriculum/year_4_meng_math_computation/,1,1
4,http://www.cs.ucl.ac.uk/?id=3201,1,1
6,http://www.cs.ucl.ac.uk/intranet/,0,0
8,http://www.cs.ucl.ac.uk/current_students/,0,0
10,http://www.cs.ucl.ac.uk/students/student_information/staff_student_committee/current_representatives/,0,0
11,http://www.cs.ucl.ac.uk/students/degree_programme/fourth_year/,0,0
12,http://www.cs.ucl.ac.uk/current_students/degree_programme/first_year/,0,0
13,http://www.cs.ucl.ac.uk/help/,0,0
14,http://www.cs.ucl.ac.uk/students/degree_programme/second_year/,0,0
15,http://www.cs.ucl.ac.uk/students/degree_programme/third_year/,0,0
24,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/,0,0
25,http://www.cs.ucl.ac.uk/help/typo3/training/exercise_3/,0,0
26,http://www.cs.ucl.ac.uk/students/syllabus/msc_robotics_and_computation/,0,0
