,link,relevance,b_relevance
0,http://www0.cs.ucl.ac.uk/teaching/3079/,1,1
1,http://www.cs.ucl.ac.uk/students/syllabus/msccgvi/gv10_computer_graphics/,2,1
2,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/msccgvi/gv10_computer_graphics/,2,1
3,http://www.cs.ucl.ac.uk/current_students/syllabus/msccgvi/gv10_computer_graphics/,2,1
4,http://www.cs.ucl.ac.uk/students/syllabus/undergrad/3080_computer_graphics/,2,1
5,http://www.cs.ucl.ac.uk/current_students/syllabus/undergrad/3080_computer_graphics/,2,1
6,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/undergrad/3080_computer_graphics/,2,1
7,http://www.cs.ucl.ac.uk/students/syllabus/mscml/gi08_graphical_models/,0,0
8,http://www.cs.ucl.ac.uk/current_students/syllabus/mscml/gi08_graphical_models/,0,0
9,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/mscml/gi08_graphical_models/,0,0
10,http://www.cs.ucl.ac.uk/mobile/degrees/msc_cgvi/,1,1
11,http://www.cs.ucl.ac.uk/mobile/prospective_students/msc_cgvi/,1,1
12,http://www.cs.ucl.ac.uk/mobile/prospective_students/msc_cgvi/?newtemplate=1%27A%3D0%27A%3D0,1,1
13,http://www.cs.ucl.ac.uk/admissions/msc_cgvi/,1,1
14,http://www.cs.ucl.ac.uk/degrees/msc_cgvi/,1,1
15,http://www.cs.ucl.ac.uk/prospective_students/msc_cgvi/,1,1
16,http://www.cs.ucl.ac.uk/students/syllabus_index_2015_2016/msccgvi/gv10_computer_graphics/,2,1
17,http://www.cs.ucl.ac.uk/teaching_learning/syllabus_index_2015_2016/msccgvi/gv10_computer_graphics/,2,1
18,http://www.cs.ucl.ac.uk/current_students/syllabus_index_2015_2016/msccgvi/gv10_computer_graphics/,2,1
19,http://www.cs.ucl.ac.uk/students/syllabus/undergrad/m056_graphical_models/,0,0
20,http://www.cs.ucl.ac.uk/students/syllabus_index_2015_2016/undergrad/3080_computer_graphics/,2,1
21,http://www.cs.ucl.ac.uk/current_students/syllabus/undergrad/m056_graphical_models/,0,0
22,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/undergrad/m056_graphical_models/,0,0
23,http://www.cs.ucl.ac.uk/teaching_learning/syllabus_index_2015_2016/undergrad/3080_computer_graphics/,2,1
24,http://www.cs.ucl.ac.uk/current_students/syllabus_index_2015_2016/undergrad/3080_computer_graphics/,2,1
25,http://www.cs.ucl.ac.uk/current_students/syllabus_index_2017_2018_provisional/undergrad/comp3080_computer_graphics/,2,1
26,http://www.cs.ucl.ac.uk/mobile/prospective_students/msc_wsbda/,1,1
27,http://www.cs.ucl.ac.uk/prospective_students/msc_wsbda/,1,1
28,http://www.cs.ucl.ac.uk/mobile/prospective_students/mres_wsbda/,1,1
29,http://www.cs.ucl.ac.uk/mobile/students/syllabus/msccgvi/gv10_computer_graphics/,2,1
1,http://www.cs.ucl.ac.uk/mobile/students/msc_wsbda/,1,1
2,http://www.cs.ucl.ac.uk/mobile/teaching_learning/msc_wsbda/,1,1
3,http://www.cs.ucl.ac.uk/mobile/current_students/msc_wsbda/,1,1
4,http://www.cs.ucl.ac.uk/mobile/students/msc_ml/,1,1
5,http://www.cs.ucl.ac.uk/mobile/teaching_learning/msc_ml/,1,1
6,http://www.cs.ucl.ac.uk/mobile/current_students/msc_ml/,1,1
7,http://www.cs.ucl.ac.uk/mobile/students/msc_ds/,1,1
8,http://www.cs.ucl.ac.uk/mobile/teaching_learning/msc_ds/,1,1
9,http://www.cs.ucl.ac.uk/mobile/current_students/msc_ds/,1,1
10,http://www.cs.ucl.ac.uk/students/msc_wsbda/,1,1
11,http://www.cs.ucl.ac.uk/teaching_learning/msc_wsbda/,1,1
12,http://www.cs.ucl.ac.uk/current_students/msc_wsbda/,1,1
13,http://www.cs.ucl.ac.uk/mobile/students/msc_ba/,1,1
17,http://www.cs.ucl.ac.uk/mobile/teaching_learning/msc_ba/,1,1
18,http://www.cs.ucl.ac.uk/mobile/current_students/msc_ba/,1,1
22,http://www.cs.ucl.ac.uk/mobile/students/msc_cgvi/,1,1
23,http://www.cs.ucl.ac.uk/mobile/teaching_learning/msc_cgvi/,1,1
24,http://www.cs.ucl.ac.uk/mobile/current_students/msc_cgvi/,1,1
25,http://www.cs.ucl.ac.uk/students/msc_ds/,1,1
