,b_relevance,link,linka,links,relevance
0,1,,,http://www.ucl.ac.uk/current-students/money/2014-2015_fees/2014-15_postgrad_research,2
1,1,,,http://www.cs.ucl.ac.uk/mobile/students/assessment_results/transcripts/,1
2,1,,,http://www.cs.ucl.ac.uk/mobile/current_students/assessment_results/transcripts/,1
3,1,,,http://www.cs.ucl.ac.uk/mobile/teaching_learning/assessment_results/transcripts/,1
4,1,,,http://www.cs.ucl.ac.uk/students/assessment_results/transcripts/,1
5,1,,,http://www.cs.ucl.ac.uk/current_students/assessment_results/transcripts/,1
6,1,,,http://www.cs.ucl.ac.uk/teaching_learning/assessment_results/transcripts/,1
7,0,,,http://www.cs.ucl.ac.uk/news/article/information-security-degree-certified-as-gchq-cyber-security-standard/,0
8,0,,,http://www.cs.ucl.ac.uk/archive/article/information-security-degree-certified-as-gchq-cyber-security-standard/,0
9,0,,,http://www.cs.ucl.ac.uk/mobile/news/article/information-security-degree-certified-as-gchq-cyber-security-standard/,0
10,0,,,http://www.cs.ucl.ac.uk/mobile/archive/article/information-security-degree-certified-as-gchq-cyber-security-standard/,0
11,1,,,http://www.cs.ucl.ac.uk/mobile/degrees/,2
12,1,,,http://www.cs.ucl.ac.uk/degrees/,2
13,1,,,http://www.cs.ucl.ac.uk/admissions/,2
14,1,,,http://www.cs.ucl.ac.uk/mobile/prospective_students/,2
15,1,,,http://www.cs.ucl.ac.uk/prospective_students/,2
16,1,,,http://www.cs.ucl.ac.uk/mobile/prospective_students/msc_computer_science_mahidol_university_thailand/,1
17,1,,,http://www.cs.ucl.ac.uk/mobile/degrees/csexcel/,2
18,1,,,http://www.cs.ucl.ac.uk/mobile/students/syllabus_index_2015_2016/undergrad/206p_mathematics_and_statistics/,2
19,1,,,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2015_2016/undergrad/206p_mathematics_and_statistics/,2
20,1,,,http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus_index_2015_2016/undergrad/206p_mathematics_and_statistics/,2
21,1,,,http://www.cs.ucl.ac.uk/students/degree_programme/fourth_year/welcome_back/,1
22,1,,,http://www.cs.ucl.ac.uk/current_students/degree_programme/fourth_year/welcome_back/,1
23,1,,,http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/fourth_year/welcome_back/,1
24,0,,,http://www.cs.ucl.ac.uk/prospective_students/msc_computer_science_mahidol_university_thailand/,0
25,0,,,http://www.cs.ucl.ac.uk/mobile/prospective_students/common_pages/ug_pg/why_study_here/,0
26,1,,,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2017_2018_provisional/undergrad/comp206p_mathematics_and_statistics/,2
27,1,,,http://www.cs.ucl.ac.uk/degrees/csexcel/,1
28,1,,,http://www.cs.ucl.ac.uk/mobile/prospective_students/phd_programme/course_information/,2
29,1,,,http://www.cs.ucl.ac.uk/mobile/students/syllabus/undergrad/206p_mathematics_and_statistics/,2
0,1,http://www.ucl.ac.uk/current-students/money/2014-2015_fees/2014-15_postgrad_research,,,2
1,1,http://www.cs.ucl.ac.uk/mobile/students/assessment_results/transcripts/,,,1
2,1,http://www.cs.ucl.ac.uk/mobile/teaching_learning/assessment_results/transcripts/,,,1
3,1,http://www.cs.ucl.ac.uk/mobile/current_students/assessment_results/transcripts/,,,1
4,1,http://www.cs.ucl.ac.uk/students/assessment_results/transcripts/,,,1
5,1,http://www.cs.ucl.ac.uk/teaching_learning/assessment_results/transcripts/,,,1
6,1,http://www.cs.ucl.ac.uk/current_students/assessment_results/transcripts/,,,1
7,0,http://www.cs.ucl.ac.uk/mobile/news/article/information-security-degree-certified-as-gchq-cyber-security-standard/,,,0
8,0,http://www.cs.ucl.ac.uk/news/article/information-security-degree-certified-as-gchq-cyber-security-standard/,,,0
9,0,http://www.cs.ucl.ac.uk/mobile/archive/article/information-security-degree-certified-as-gchq-cyber-security-standard/,,,0
10,0,http://www.cs.ucl.ac.uk/archive/article/information-security-degree-certified-as-gchq-cyber-security-standard/,,,0
11,0,http://www.cs.ucl.ac.uk/mobile/prospective_students/msc_computer_science_mahidol_university_thailand/,,,0
12,0,http://www.cs.ucl.ac.uk/?id=7334,,,0
13,0,http://www.cs.ucl.ac.uk/current_students/degree_programme/international_programme/,,,0
14,1,http://www.cs.ucl.ac.uk/mobile/degrees/,,,1
15,1,http://www.cs.ucl.ac.uk/degrees/,,,2
16,1,http://www.cs.ucl.ac.uk/admissions/,,,2
17,1,http://www.cs.ucl.ac.uk/mobile/degrees/csexcel/,,,2
18,1,http://www.cs.ucl.ac.uk/mobile/prospective_students/,,,2
19,1,http://www.cs.ucl.ac.uk/students/degree_programme/first_year/,,,1
20,1,http://www.cs.ucl.ac.uk/prospective_students/,,,2
21,1,http://www.cs.ucl.ac.uk/students/degree_programme/fourth_year/,,,1
22,1,http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/first_year/,,,1
23,1,http://www.cs.ucl.ac.uk/current_students/degree_programme/first_year/,,,1
24,0,http://www0.cs.ucl.ac.uk/staff/A.Sztrajman/,,,0
25,1,http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/fourth_year/,,,1
26,1,http://www.cs.ucl.ac.uk/current_students/degree_programme/fourth_year/,,,1
27,1,http://www.cs.ucl.ac.uk/students/degree_programme/second_year/,,,1
28,1,http://www.cs.ucl.ac.uk/mobile/students/syllabus_index_2015_2016/undergrad/206p_mathematics_and_statistics/,,,2
29,1,http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus_index_2015_2016/undergrad/206p_mathematics_and_statistics/,,,2
