,link,relevance,b_relevance
0,http://www.cs.ucl.ac.uk/cs_people/J.Wang.html/,2,1
1,http://www.cs.ucl.ac.uk/people/J.Wang.html/,2,1
2,http://www.cs.ucl.ac.uk/news/article/dr-jun-wang-wins-yahoo-prep-award/,1,1
3,http://www.cs.ucl.ac.uk/archive/article/dr-jun-wang-wins-yahoo-prep-award/,1,1
4,http://www.cs.ucl.ac.uk/mobile/archive/article/best-paper-prize-for-cs-academic/,1,1
5,http://www.cs.ucl.ac.uk/mobile/archive/article/dr-jun-wang-wins-yahoo-prep-award/,1,1
6,http://www.cs.ucl.ac.uk/archive/article/best-paper-prize-for-cs-academic/,1,1
7,http://www.cs.ucl.ac.uk/mobile/archive/article/media-futures-group-research-wins-best-paper-award/,1,1
8,http://www.cs.ucl.ac.uk/news/article/media-futures-group-research-wins-best-paper-award/,1,1
9,http://www.cs.ucl.ac.uk/archive/article/media-futures-group-research-wins-best-paper-award/,1,1
10,http://www.cs.ucl.ac.uk/mobile/students/degree_programme/first_year/tutorials/tutorials_2009_10/,0,0
11,http://www.cs.ucl.ac.uk/mobile/teaching_learning/degree_programme/first_year/tutorials/tutorials_2009_10/,0,0
12,http://www.cs.ucl.ac.uk/mobile/current_students/degree_programme/first_year/tutorials/tutorials_2009_10/,0,0
13,http://www.cs.ucl.ac.uk/mobile/archive/browse/16/,0,0
14,http://www.cs.ucl.ac.uk/students/degree_programme/first_year/tutorials/tutorials_2009_10/,0,0
15,http://www.cs.ucl.ac.uk/archive/browse/16/,0,0
16,http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/first_year/tutorials/tutorials_2009_10/,0,0
17,http://www.cs.ucl.ac.uk/current_students/degree_programme/first_year/tutorials/tutorials_2009_10/,0,0
18,http://www.cs.ucl.ac.uk/mobile/archive/article/acm-mobicom-2014-best-presentation/,0,0
19,http://www.cs.ucl.ac.uk/mobile/students/degree_programme/fourth_year/tutorials/fourth_year_tutorials_2012_13/,0,0
20,http://www.cs.ucl.ac.uk/mobile/teaching_learning/degree_programme/fourth_year/tutorials/fourth_year_tutorials_2012_13/,0,0
21,http://www.cs.ucl.ac.uk/mobile/current_students/degree_programme/fourth_year/tutorials/fourth_year_tutorials_2012_13/,0,0
22,http://www.cs.ucl.ac.uk/mobile/news/article/computer-science-spinout-is-a-winner-at-ucl-business-annual-summer-reception/,0,0
23,http://www.cs.ucl.ac.uk/mobile/students/degree_programme/second_year/tutorials/second_year_tutorials_2011_12/,0,0
24,http://www.cs.ucl.ac.uk/news/article/acm-mobicom-2014-best-presentation/,0,0
25,http://www.cs.ucl.ac.uk/computer_science_news/?cHash=29cb5e0530d6bfd2e9c3ea5de48fe1f4&tx_ttnews%5Btt_news%5D=1280,0,0
26,http://www.cs.ucl.ac.uk/mobile/teaching_learning/degree_programme/second_year/tutorials/second_year_tutorials_2011_12/,0,0
27,http://www.cs.ucl.ac.uk/mobile/current_students/degree_programme/second_year/tutorials/second_year_tutorials_2011_12/,0,0
28,http://www.cs.ucl.ac.uk/mobile/archive/article/computer-science-spinout-is-a-winner-at-ucl-business-annual-summer-reception/,0,0
29,http://www.cs.ucl.ac.uk/archive/article/acm-mobicom-2014-best-presentation/,0,0
7,http://www.cs.ucl.ac.uk/mobile/archive/article/media-futures-group-research-wins-best-paper-award/,0,0
8,http://www.cs.ucl.ac.uk/news/article/media-futures-group-research-wins-best-paper-award/,0,0
9,http://www.cs.ucl.ac.uk/archive/article/media-futures-group-research-wins-best-paper-award/,0,0
28,http://www.cs.ucl.ac.uk/news/article/computer-science-spinout-is-a-winner-at-ucl-business-annual-summer-reception/,0,0
8,http://www.cs.ucl.ac.uk/cs_people/Xue.Wang.html/,0,0
9,http://www.cs.ucl.ac.uk/cs_people/Tingting.Wang.html/,0,0
10,http://www.cs.ucl.ac.uk/cs_people/P.Wang.html/,0,0
11,http://www.cs.ucl.ac.uk/cs_people/Tiantian.Wang.html/,0,0
12,http://www.cs.ucl.ac.uk/cs_people/Hao.Wang.html/,0,0
13,http://www.cs.ucl.ac.uk/cs_people/Tuanfeng.Wang.html/,0,0
28,http://www.cs.ucl.ac.uk/mobile/archive/article/ucl-css-1st-robot-race-2012/,0,0
29,http://www.cs.ucl.ac.uk/mobile/archive/article/peter-bentley-on-radio-bbc-radio-4/,0,0
0,http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/first_year/tutorials/first_year_tutorials_2014_15/,0,0
1,http://www.cs.ucl.ac.uk/students/degree_programme/first_year/tutorials/first_year_tutorials_2013_14/,0,0
2,http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus_index_2015_2016/msc_web_science_and_big_data_analytics/gw02_web_economics/,1,1
3,http://www.cs.ucl.ac.uk/mobile/current_students/degree_programme/second_year/tutorials/second_year_tutorials_2013_14/,0,0
4,http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/third_year/tutorials/third_year_tutorials_2012_13/,0,0
5,http://www.cs.ucl.ac.uk/current_students/degree_programme/fourth_year/tutorials/,0,0
6,http://www.cs.ucl.ac.uk/people/,0,0
8,http://www.cs.ucl.ac.uk/mobile/students/syllabus/mscml/gi15_information_retrieval_data_mining/,1,1
9,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/undergrad/m041_web_economics/,1,1
10,http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/first_year/tutorials/tutorials_2010_11/,0,0
11,http://www.cs.ucl.ac.uk/students/degree_programme/first_year/tutorials/first_year_tutorials_2012_13/,0,0
12,http://www.cs.ucl.ac.uk/mobile/current_students/degree_programme/third_year/tutorials/third_year_tutorials_2014_15/,0,0
13,http://www.cs.ucl.ac.uk/mobile/current_students/degree_programme/first_year/tutorials/first_year_tutorials_2013_14/,0,0
14,http://www.cs.ucl.ac.uk/students/degree_programme/first_year/tutorials/first_year_tutorials_2014_15/,0,0
15,http://www.cs.ucl.ac.uk/students/syllabus/undergrad/m052_information_retrieval_and_data_mining/,1,1
16,http://www.cs.ucl.ac.uk/current_students/degree_programme/first_year/tutorials/first_year_tutorials_2012_13/,0,0
17,http://www.cs.ucl.ac.uk/mobile/current_students/degree_programme/third_year/tutorials/third_year_tutorials_2011_12/,0,0
19,http://www.cs.ucl.ac.uk/mobile/current_students/degree_programme/second_year/tutorials/second_year_tutorials_2010_11/,0,0
20,http://www.cs.ucl.ac.uk/current_students/syllabus/msc_web_science_and_big_data_analytics/gw02_web_economics/,1,1
