,link,relevance,b_relevance
0,https://moodle.ucl.ac.uk/login/index.php,2,1
1,http://www.ucl.ac.uk/pals/current-students/masters,2,1
2,http://www.cs.ucl.ac.uk/students/moodle_links/pending/,0,0
3,http://www.cs.ucl.ac.uk/teaching_learning/moodle_links/pending/,0,0
4,http://www.cs.ucl.ac.uk/current_students/moodle_links/pending/,0,0
5,http://www.cs.ucl.ac.uk/mobile/students/moodle_links/pending/,0,0
6,http://www.cs.ucl.ac.uk/mobile/teaching_learning/moodle_links/pending/,0,0
7,http://www.cs.ucl.ac.uk/mobile/current_students/moodle_links/pending/,0,0
8,http://www.cs.ucl.ac.uk/students/moodle_links/,0,0
9,http://www.cs.ucl.ac.uk/teaching_learning/moodle_links/,0,0
10,http://www.cs.ucl.ac.uk/current_students/moodle_links/,0,0
11,http://www.cs.ucl.ac.uk/mobile/students/student_information/staff_student_committee/agendas/march_18th_2011/,0,0
12,http://www.cs.ucl.ac.uk/mobile/teaching_learning/student_information/staff_student_committee/agendas/march_18th_2011/,0,0
13,http://www.cs.ucl.ac.uk/mobile/current_students/student_information/staff_student_committee/agendas/march_18th_2011/,0,0
14,http://www.cs.ucl.ac.uk/mobile/students/degree_programme/ancillary/,0,0
15,http://www.cs.ucl.ac.uk/mobile/current_students/degree_programme/ancillary/,0,0
16,http://www.cs.ucl.ac.uk/mobile/teaching_learning/degree_programme/ancillary/,0,0
17,http://www.cs.ucl.ac.uk/mobile/students/student_information/staff_student_committee/minutes/december_6th_2010/,0,0
18,http://www.cs.ucl.ac.uk/mobile/teaching_learning/student_information/staff_student_committee/minutes/december_6th_2010/,0,0
19,http://www.cs.ucl.ac.uk/mobile/current_students/student_information/staff_student_committee/minutes/december_6th_2010/,0,0
20,http://www.cs.ucl.ac.uk/students/degree_programme/ancillary/,0,0
21,http://www.cs.ucl.ac.uk/current_students/degree_programme/ancillary/,0,0
22,http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/ancillary/,0,0
23,http://www.cs.ucl.ac.uk/students/student_information/staff_student_committee/minutes/december_6th_2010/,0,0
