link,relevance
http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus/msccgvi/gv10_computer_graphics/,2
http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus/mscml/gi09_applied_machine_learning/,0
http://www.cs.ucl.ac.uk/teaching_learning/syllabus/msc_financial_risk_management/g001_financial_data_and_statistics/,0
http://www.cs.ucl.ac.uk/mobile/current_students/msc_cgvi/,1
http://www.cs.ucl.ac.uk/students/syllabus_index_2015_2016/msccs/gc20_computer_music/,0
http://www.cs.ucl.ac.uk/current_students/syllabus/mscml/gi16_approximate_inference_and_learning_in_probabilistic_models/,0
http://www.cs.ucl.ac.uk/students/syllabus/mscml/gi13_advanced_topics_in_machine_learning/,0
http://www.cs.ucl.ac.uk/students/syllabus_index_2015_2016/undergrad/m042_complex_networks_and_web/,0
http://www.cs.ucl.ac.uk/mobile/students/syllabus/mscml/gi13_advanced_topics_in_machine_learning/,0
http://www.cs.ucl.ac.uk/students/syllabus/msccs/gc02_design/,0
http://www.cs.ucl.ac.uk/mobile/students/syllabus/undergrad/m076_virtual_environments/,0
http://www.cs.ucl.ac.uk/students/syllabus/undergrad/3072_image_processing/,0
http://www.cs.ucl.ac.uk/mobile/students/undergrad_inf/curriculum/year_3_meng_math_computation/,1
http://www.cs.ucl.ac.uk/mobile/students/undergrad_inf/curriculum/year_3_bsc_cs/,1
http://www.cs.ucl.ac.uk/mobile/prospective_students/msc_ds/,1
http://www.cs.ucl.ac.uk/mobile/prospective_students/msc_cgvi/,1
http://www.cs.ucl.ac.uk/students/undergrad_inf/curriculum/year_3_meng_cs/,1
http://www.cs.ucl.ac.uk/mobile/current_students/syllabus/msccgvi/gv07_virtual_environments/,0
http://www.cs.ucl.ac.uk/current_students/syllabus/ug/,1
http://www.cs.ucl.ac.uk/current_students/syllabus/msccgvi/gv01_mathematical_methods_algorithms_and_implementations/,0
http://www.cs.ucl.ac.uk/mobile/current_students/syllabus/msccs/gc22_software_engineering/,0
http://www.cs.ucl.ac.uk/current_students/syllabus/msccgvi/gv10_computer_graphics/,1
http://www.cs.ucl.ac.uk/current_students/syllabus_index_2015_2016/undergrad/m072_mathematical_methods_algorithms_and_implementations/,0
http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2015_2016/ug/,1
http://www.cs.ucl.ac.uk/current_students/syllabus_index_2015_2016/msccgvi/gv10_computer_graphics/,2
http://www.cs.ucl.ac.uk/teaching_learning/syllabus/undergrad/m061_people_and_security/,0
http://www.cs.ucl.ac.uk/teaching_learning/syllabus_index_2015_2016/undergrad/m042_complex_networks_and_web/,0
http://www.cs.ucl.ac.uk/teaching_learning/syllabus_index_2015_2016/undergrad/m012_programming_mathematical_methods_for_machine_learning/,0
http://www.cs.ucl.ac.uk/mobile/current_students/undergrad_inf/curriculum/year_3_meng_math_computation/,1
http://www.cs.ucl.ac.uk/students/undergrad_inf/curriculum/year_4_meng_math_computation/,1
