link,relevance
http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus/msc_financial_risk_management/g009_networks_and_systemic_risk/,2
http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2015_2016/undergrad/m058_bioinformatics/,2
http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/first_year/tutorials/first_year_tutorials_2014_15/,0
http://www.cs.ucl.ac.uk/students/degree_programme/first_year/tutorials/first_year_tutorials_2013_14/,0
http://www.cs.ucl.ac.uk/current_students/teaching_and_learning/changing_your_degree/,1
http://www.cs.ucl.ac.uk/current_students/student_information/staff_student_committee/minutes/november_26th_2009/,0
http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/third_year/tutorials/third_year_tutorials_2012_13/,0
http://www.cs.ucl.ac.uk/current_students/degree_programme/fourth_year/tutorials/,0
http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2015_2016/msc_financial_risk_management/g009_networks_and_systemic_risk/,2
http://www.cs.ucl.ac.uk/current_students/degree_programme/first_year/tutorials/tutorials_2009_10/,0
http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/first_year/tutorials/tutorials_2010_11/,0
http://www.cs.ucl.ac.uk/students/degree_programme/first_year/tutorials/first_year_tutorials_2012_13/,0
http://www.cs.ucl.ac.uk/mobile/prospective_students/mres_robotics/,1
http://www.cs.ucl.ac.uk/mobile/teaching_learning/student_information/staff_student_committee/minutes/november_29th_2006/,0
http://www.cs.ucl.ac.uk/mobile/students/student_information/staff_student_committee/agendas/november_26th_2009/,0
http://www.cs.ucl.ac.uk/students/syllabus/undergrad/engs102p_design_and_professional_skills/,2
http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus/undergrad/engs102p_design_and_professional_skills/,2
http://www.cs.ucl.ac.uk/prospective_students/msc_computer_science_mahidol_university_thailand/,0
http://www.cs.ucl.ac.uk/mobile/students/syllabus_index_2015_2016/undergrad/m058_bioinformatics/,2
http://www.cs.ucl.ac.uk/news/article/andrea-bittau-1983-2017/,0
http://www.cs.ucl.ac.uk/archive/article/information-security-degree-certified-as-gchq-cyber-security-standard/,0
http://www.cs.ucl.ac.uk/mobile/teaching_learning/msc_cs/,2
http://www.cs.ucl.ac.uk/prospective_students/phd_programme/careers/,0
http://www.ucl.ac.uk/current-students/money/2014-2015_fees/2014-15_postgrad_research,2
http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2015_2016/undergrad/204p_systems_engineering_project_1/,2
http://www.cs.ucl.ac.uk/mobile/news/article/ucl-receives-google-grant-towards-automated-fact-checking/,0
http://www.cs.ucl.ac.uk/students/degree_programme/first_year/tutorials/first_year_tutorials_2014_15/,0
http://www.cs.ucl.ac.uk/students/undergraduate_information/assessment/,0
http://www.cs.ucl.ac.uk/current_students/degree_programme/first_year/tutorials/first_year_tutorials_2012_13/,0
http://www.cs.ucl.ac.uk/mobile/prospective_students/msc_rc/,2
