link,relevance
http://www.cs.ucl.ac.uk/mobile/current_students/msc_cgvi/,1
http://www.cs.ucl.ac.uk/students/undergrad_inf/curriculum/year_4_meng_math_computation/,1
http://www.cs.ucl.ac.uk/wics/news/emine_yilmaz_awarded_the_microsoft_bcs_karen_sparck_jones_award/,0
http://www.cs.ucl.ac.uk/mobile/students/syllabus_index_2015_2016/undergrad/m052_information_retrieval_and_data_mining/,2
http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2015_2016/ug/,1
http://www.cs.ucl.ac.uk/mobile/students/msc_wsbda/lecturers/,0
http://www.cs.ucl.ac.uk/?id=3201,1
http://www.cs.ucl.ac.uk/current_students/undergrad_inf/curriculum/year_4_meng_math_computation/,1
http://www.cs.ucl.ac.uk/mobile/prospective_students/msc_ds/,1
http://www.cs.ucl.ac.uk/teaching_learning/syllabus/mscml/gi15_information_retrieval_data_mining/,2
http://www.cs.ucl.ac.uk/current_students/syllabus/ug/,1
http://www.cs.ucl.ac.uk/students/syllabus/mscml/gi15_information_retrieval_data_mining/,2
http://www.cs.ucl.ac.uk/students/undergraduate_information/curriculum/year_4_meng_mathematical_computation/?noMobile=1,0
http://www.cs.ucl.ac.uk/students/syllabus/undergrad/m052_information_retrieval_and_data_mining/,2
http://www.cs.ucl.ac.uk/index.php?id=7962,0
http://www.cs.ucl.ac.uk/teaching_learning/msc_ml/,1
http://www.cs.ucl.ac.uk/teaching_learning/msc_cgvi/,1
http://www.cs.ucl.ac.uk/teaching_learning/msc_ds/,1
http://www.cs.ucl.ac.uk/teaching_learning/msc_sse/,1
http://www.cs.ucl.ac.uk/teaching_learning/msc_csml/,1
http://www.cs.ucl.ac.uk/prospective_students/phd_programme/applying/,0
http://www.cs.ucl.ac.uk/teaching_learning/syllabus/undergrad/m052_information_retrieval_and_data_mining/,2
http://www.cs.ucl.ac.uk/mobile/teaching_learning/msc_cgvi/,0
http://www.cs.ucl.ac.uk/current_students/msc_ds/,1
http://www.cs.ucl.ac.uk/current_students/msc_sse/,1
http://www.cs.ucl.ac.uk/current_students/syllabus_index_2017_2018_provisional/undergrad/compm052_information_retrieval_and_data_mining/,2
http://www.cs.ucl.ac.uk/current_students/msc_csml/,1
https://uclic.ucl.ac.uk/people/nadia-berthouze/,0
http://www.cs.ucl.ac.uk/mobile/current_students/msc_ba/,1
http://www.cs.ucl.ac.uk/index.php?id=1583,1
