link,relevance
http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/first_year/tutorials/first_year_tutorials_2014_15/,0
http://www.cs.ucl.ac.uk/students/degree_programme/first_year/tutorials/first_year_tutorials_2013_14/,0
http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus_index_2015_2016/msc_web_science_and_big_data_analytics/gw02_web_economics/,1
http://www.cs.ucl.ac.uk/mobile/current_students/degree_programme/second_year/tutorials/second_year_tutorials_2013_14/,0
http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/third_year/tutorials/third_year_tutorials_2012_13/,0
http://www.cs.ucl.ac.uk/current_students/degree_programme/fourth_year/tutorials/,0
http://www.cs.ucl.ac.uk/people/,0
http://www.cs.ucl.ac.uk/current_students/degree_programme/first_year/tutorials/tutorials_2009_10/,0
http://www.cs.ucl.ac.uk/mobile/students/syllabus/mscml/gi15_information_retrieval_data_mining/,1
http://www.cs.ucl.ac.uk/teaching_learning/syllabus/undergrad/m041_web_economics/,1
http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/first_year/tutorials/tutorials_2010_11/,0
http://www.cs.ucl.ac.uk/students/degree_programme/first_year/tutorials/first_year_tutorials_2012_13/,0
http://www.cs.ucl.ac.uk/mobile/current_students/degree_programme/third_year/tutorials/third_year_tutorials_2014_15/,0
http://www.cs.ucl.ac.uk/mobile/current_students/degree_programme/first_year/tutorials/first_year_tutorials_2013_14/,0
http://www.cs.ucl.ac.uk/students/degree_programme/first_year/tutorials/first_year_tutorials_2014_15/,0
http://www.cs.ucl.ac.uk/students/syllabus/undergrad/m052_information_retrieval_and_data_mining/,1
http://www.cs.ucl.ac.uk/current_students/degree_programme/first_year/tutorials/first_year_tutorials_2012_13/,0
http://www.cs.ucl.ac.uk/mobile/current_students/degree_programme/third_year/tutorials/third_year_tutorials_2011_12/,0
http://www.cs.ucl.ac.uk/news/article/acm-mobicom-2014-best-presentation/,0
http://www.cs.ucl.ac.uk/mobile/current_students/degree_programme/second_year/tutorials/second_year_tutorials_2010_11/,0
http://www.cs.ucl.ac.uk/current_students/syllabus/msc_web_science_and_big_data_analytics/gw02_web_economics/,1
http://www.cs.ucl.ac.uk/mobile/current_students/degree_programme/second_year/tutorials/second_year_tutorials_2012_13/,0
http://www.cs.ucl.ac.uk/current_students/msc_wsbda/lecturers/,1
http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2015_2016/mscml/gi15_information_retrieval_data_mining/,1
http://www.cs.ucl.ac.uk/mobile/students/syllabus_index_2015_2016/undergrad/m052_information_retrieval_and_data_mining/,1
http://www.cs.ucl.ac.uk/students/syllabus/undergrad/m041_web_economics/,1
http://www.cs.ucl.ac.uk/mobile/archive/article/dr-jun-wang-wins-yahoo-prep-award/,2
http://www.cs.ucl.ac.uk/students/degree_programme/fourth_year/tutorials/,0
http://www.cs.ucl.ac.uk/mobile/current_students/syllabus/msc_web_science_and_big_data_analytics/gw02_web_economics/,1
http://www.cs.ucl.ac.uk/news/article/mediagamma-secures-seed-funding-for-automated-digital-ad-futures-options-exchange/,0
