link,relevance
http://www.ucl.ac.uk/current-students/money/2014-2015_fees/2014-15_postgrad_research,2
http://www.cs.ucl.ac.uk/mobile/current_students/assessment_results/transcripts/,1
http://www.cs.ucl.ac.uk/admissions/,2
http://www.cs.ucl.ac.uk/mobile/degrees/csexcel/,2
http://www.cs.ucl.ac.uk/current_students/syllabus/undergrad/206p_mathematics_and_statistics/,2
http://www.ucl.ac.uk/current-students/exams_and_awards,1
http://www.cs.ucl.ac.uk/mobile/students/undergrad_inf/assessment/,1
http://www.cs.ucl.ac.uk/current_students/degree_programme/first_year/,0
http://www.cs.ucl.ac.uk/students/degree_programme/fourth_year/,0
http://www.cs.ucl.ac.uk/students/degree_programme/second_year/,0
http://www.cs.ucl.ac.uk/students/degree_programme/third_year/,0
http://www.ucl.ac.uk/srs/academic-manual/c0/students/start,0
http://www.cs.ucl.ac.uk/current_students/syllabus/msccs/gc26_artificial_intelligence_and_neural_computing/,2
http://www0.cs.ucl.ac.uk/staff/C.Amati/,0
http://www0.cs.ucl.ac.uk/staff/M.Reynolds/,0
http://www.cs.ucl.ac.uk/mobile/students/student_information/staff_student_committee/agendas/november_3rd_2004/,0
http://www.cs.ucl.ac.uk/mobile/students/student_information/staff_student_committee/minutes/november_3rd_2004/,0
http://www.cs.ucl.ac.uk/mobile/archive/article/ucl-engineering-quantech-exhibition/,0
http://www.cs.ucl.ac.uk/teaching_learning/student_information/staff_student_committee/minutes/november_3rd_2004/,0
http://www.cs.ucl.ac.uk/teaching_learning/student_information/staff_student_committee/agendas/november_3rd_2004/,0
http://www.cs.ucl.ac.uk/mobile/home/,0
http://www.cs.ucl.ac.uk/students/degree_programme/fourth_year/tutorials/fourth_year_tutorials_2014_15/,0
http://www.cs.ucl.ac.uk/current_students/degree_programme/fourth_year/tutorials/fourth_year_tutorials_2014_15/,0
http://www.cs.ucl.ac.uk/wics/athena_swan/,0
http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/first_year/general_information/,0
http://www.cs.ucl.ac.uk/mobile/current_students/syllabus/undergrad/engs102p_design_and_professional_skills/,2
http://www.cs.ucl.ac.uk/mobile/students/student_information/staff_student_committee/minutes/november_13th_2002/,0
http://www.cs.ucl.ac.uk/teaching_learning/syllabus/undergrad/engs102p_design_and_professional_skills/,0
http://www.cs.ucl.ac.uk/teaching_learning/student_information/staff_student_committee/minutes/november_13th_2002/,0
http://www.cs.ucl.ac.uk/students/degree_programme/first_year/tutorials/tutorials_2010_11/,0
